358,350.7140284
360,338.6684765
362,312.6926945
364,268.1159582
366,222.2281414
368,184.2068074
370,151.1839678
372,123.9790479
374,101.5267947
376,83.41749554
378,68.99561026
380,56.13063305
382,45.80587427
384,37.28385115
386,30.40067863
388,24.99247165
390,20.15786238
392,16.47044853
394,13.60245998
396,11.14418408
398,9.09562083
400,7.53871276
402,6.22763228
404,5.32626445
406,4.50683915
408,3.76935638
410,3.35964373
412,2.86798855
414,2.54021843
416,2.29439084
418,2.13050578
420,1.88467819
422,1.72079313
424,1.6388506
426,1.55690807
428,1.47496554
430,1.47496554
432,1.39302301
434,1.39302301
436,1.31108048
438,1.31108048
440,1.22913795
442,1.22913795
444,1.22913795
446,1.22913795
448,1.14719542
450,1.14719542
452,1.14719542
454,1.14719542
456,1.14719542
458,1.22913795
460,1.14719542
462,1.14719542
464,1.14719542
466,1.14719542
468,1.06525289
470,1.14719542
472,1.06525289
474,1.06525289
476,1.06525289
478,1.06525289
480,1.06525289
482,1.06525289
484,1.06525289
486,1.06525289
488,0.98331036
490,1.06525289
492,0.98331036
494,0.98331036
496,0.98331036
498,0.98331036
500,0.98331036
502,0.98331036
504,0.98331036
506,0.98331036
508,0.98331036
510,0.98331036
512,0.98331036
514,0.98331036
516,0.98331036
518,0.98331036
520,0.90136783
522,0.98331036
524,1.06525289
526,0.98331036
528,0.98331036
530,0.90136783
532,0.90136783
534,0.90136783
536,0.90136783
538,0.90136783
540,0.98331036
542,0.90136783
544,0.90136783
546,0.90136783
548,0.90136783
550,0.90136783
552,0.90136783
554,0.90136783
556,0.90136783
558,0.90136783
560,0.90136783
562,0.8194253
564,0.8194253
566,0.90136783
568,0.8194253
570,0.8194253
572,0.90136783
574,0.8194253
576,0.8194253
578,0.8194253
580,0.8194253
582,0.8194253
584,0.8194253
586,0.8194253
588,0.8194253
590,0.8194253
592,0.8194253
594,0.73748277
596,0.8194253
598,0.73748277
600,0.73748277
